,Domain,Page rank integer,Page rank decimal,Site Rank,Domain registrar,Postal code,Country of origin,Harmless,Malicious,Suspicious,Undetected,Timeout,No. of Local links,No. of Outbound links,Total links,Links to fake news site?,Wordpress?,Site Rating
88,politicsusanews.com,3,2.65,9394582,Domainarmada.com LLC,Statutory Masking Enabled,RO,85,0,0,11,0,0,0,0,FALSE,FALSE,Fake
89,prntly.com,4,3.57,2350140,Epik Holdings Inc,98004,US,84,0,0,12,0,63,9,72,FALSE,TRUE,Fake
90,proamericanews.com,2,2.21,19646896,"GoDaddy.com, LLC",85284,US,85,0,0,11,0,0,0,0,FALSE,FALSE,Fake
91,react365.com,3,3.35,3302463,"TurnCommerce, Inc. DBA NameBright.com",Redacted for GDPR privacy,FR,85,1,0,10,0,49,2,51,FALSE,FALSE,Fake
92,readconservatives.news,3,2.6,10056247,,,,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
93,realnewsrightnow.com,4,3.79,1699263,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,85,1,1,9,0,50,8,58,FALSE,TRUE,Fake
94,redcountry.us,3,2.54,10910748,"SAV.COM, LLC",926,,78,4,1,13,0,0,0,0,FALSE,FALSE,Fake
95,rogue-nation3.com,3,2.5,11955491,"GoDaddy.com, LLC",85284,US,85,1,0,10,0,233,3,236,FALSE,FALSE,Fake
96,sputniknews.com,6,5.55,5072,"Regional Network Information Center, JSC dba RU-CENTER",119021,RU,84,0,0,12,0,68,10,78,FALSE,FALSE,Fake
97,stormcloudsgathering.com,4,3.53,2523407,NAMECHEAP INC,101,IS,82,0,0,14,0,11,17,28,FALSE,TRUE,Fake
98,tdtalliance.com,3,3,5585826,NAMECHEAP INC,101,IS,86,0,0,10,0,49,22,71,FALSE,TRUE,Fake
99,teaparty.org,5,4.61,56899,"Register.com, Inc.",FALSE,US,83,0,0,13,0,59,3,62,FALSE,TRUE,Fake
100,theracketreport.com,3,3.25,3854009,"GoDaddy.com, LLC",85284,US,81,1,0,14,0,72,11,83,FALSE,TRUE,Fake
101,thereporterz.com,2,2.12,22851113,Key-Systems GmbH,REDACTED FOR PRIVACY,NL,85,1,0,10,0,106,0,106,FALSE,FALSE,Fake
102,theusa-news.com,2,2.41,13568158,"GoDaddy.com, LLC",85284,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
103,times.com.mx,2,2.43,13272060,InterNetX GmbH,,,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
104,tmzworldnews.com,3,3.19,4167516,"GoDaddy.com, LLC",85284,US,85,1,0,10,0,113,0,113,FALSE,TRUE,Fake
105,truetrumpers.com,3,2.89,6565272,PDR Ltd. d/b/a PublicDomainRegistry.com,1803,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
106,usadailyinfo.com,3,2.9,6344809,"NETWORK SOLUTIONS, LLC.",32256,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
107,usadailypolitics.com,3,3.32,3461197,Key-Systems GmbH,22314,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
108,usadosenews.com,2,2.21,19647496,"Sssasss, Incorporated",Statutory Masking Enabled,GI,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
109,usafirstinformation.com,2,2.21,19551115,ABOVE.COM PTY LTD.,,US,87,0,0,9,0,0,1,1,FALSE,FALSE,Fake
110,usanewspolitics.com,2,1.58,59498883,"NameCheap, Inc.",,,84,1,0,11,0,6,2,8,FALSE,TRUE,Fake
111,usanewstoday.com,3,2.59,10278071,THE NAME IT CORPORATION DBA NAMESERVICES.NET,49088,US,83,1,0,12,0,1,3,4,FALSE,FALSE,Fake
112,usapolitics24hrs.com,2,2.44,12970242,"GoDaddy.com, LLC",85284,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
113,usasupreme.com,4,3.99,1305242,"GoDaddy.com, LLC",85284,US,85,0,0,11,0,87,3,90,FALSE,FALSE,Fake
114,usatoday.com.co,4,3.75,1765395,Communigal Communication Ltd,REDACTED FOR PRIVACY,FALSE,83,1,0,12,0,0,0,0,FALSE,FALSE,Fake
115,usawatchdog.com,4,4.08,1192760,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,68,11,79,FALSE,FALSE,Fake
116,usconservativetoday.com,2,2.3,16500116,ABOVE.COM PTY LTD.,,HK,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
